id	label	matches
http://linkedsdg.org/concept/1af72987d8989591abcac123175629e0	DISASTER PREPAREDNESS	http://metadata.un.org/thesaurus/1001693
http://linkedsdg.org/concept/cb895713aab6970def62204e7d3622d9	DISASTER PREVENTION	http://metadata.un.org/thesaurus/1001694
http://linkedsdg.org/concept/1364d31bfda52f3646a969cbc431d5ae	DISASTER RELIEF	http://metadata.un.org/thesaurus/1001695
http://linkedsdg.org/concept/548f1e583c8786c13a04fb156fdce45b	DISASTER VICTIMS	http://metadata.un.org/thesaurus/1001696
http://linkedsdg.org/concept/3796e7ce768d56fa8cf987bc977caa1d	LOCAL GOVERNMENT	http://eurovoc.europa.eu/68;http://metadata.un.org/thesaurus/1003791
http://linkedsdg.org/concept/c96bc27f293143fbce2142e78083fd18	MALNUTRITION	http://eurovoc.europa.eu/1770;http://metadata.un.org/thesaurus/1003859
http://linkedsdg.org/concept/0644d22179ff180dc00ae6975aaf4d13	MATERNAL MORTALITY	http://metadata.un.org/thesaurus/1003983
http://linkedsdg.org/concept/1c908deeb9822af185942cfe22724c1e	MOTHERS	http://metadata.un.org/thesaurus/1004247
http://linkedsdg.org/concept/f714de100df8d00c5684ded0131db5f7	CHILD HEALTH	http://metadata.un.org/thesaurus/1000934
http://linkedsdg.org/concept/207198552a203f9c63e8d258238539cf	INFANTS	http://metadata.un.org/thesaurus/1003182
http://linkedsdg.org/concept/c173981045e7c4fee2de8a6be0dfb85e	INFANT MORTALITY	http://eurovoc.europa.eu/1992;http://metadata.un.org/thesaurus/1003180
http://linkedsdg.org/concept/b1c735ffa03683c4bfbedb3b43d4f647	AIDS	http://eurovoc.europa.eu/5172;http://metadata.un.org/thesaurus/1000181
http://linkedsdg.org/concept/25f96bd4f55f7751571e461356c4f979	TUBERCULOSIS	http://metadata.un.org/thesaurus/1006731
http://linkedsdg.org/concept/d7dd63c775f8b21d14faf8f84a3690f7	MALARIA	http://metadata.un.org/thesaurus/1003845
http://linkedsdg.org/concept/019621fd9ad8601166070bc2c5a54599	NON-COMMUNICABLE DISEASES	http://metadata.un.org/thesaurus/1004436
http://linkedsdg.org/concept/67dcd971ec898c1805ad7c8e7aba0f46	MENTAL HEALTH	http://eurovoc.europa.eu/5878;http://metadata.un.org/thesaurus/1004041
http://linkedsdg.org/concept/ae23606740edd1e34eee5a5cb60a86a6	SUICIDE	http://eurovoc.europa.eu/4323;http://metadata.un.org/thesaurus/1006282
http://linkedsdg.org/concept/f3b0b2a515ae64b0c2135235f18af804	ALCOHOLISM	http://eurovoc.europa.eu/1162;http://metadata.un.org/thesaurus/1000229
http://linkedsdg.org/concept/c6509e616318325d2a9edec12e69b540	NARCOTIC DRUGS	http://metadata.un.org/thesaurus/1004312;http://metadata.un.org/thesaurus/140401
http://linkedsdg.org/concept/32de1c9ee455c2b840f665918688d770	FAMILY PLANNING	http://eurovoc.europa.eu/2398;http://metadata.un.org/thesaurus/080200;http://metadata.un.org/thesaurus/1002244
http://linkedsdg.org/concept/00b6b2ab7b6302efe417aa84945b5a3f	ADOLESCENTS	http://metadata.un.org/thesaurus/1000066
http://linkedsdg.org/concept/2d8765bca6bb91086e5cd9d7b60b7abe	SEX EDUCATION	http://eurovoc.europa.eu/681;http://metadata.un.org/thesaurus/1005845
http://linkedsdg.org/concept/7cbb4d2daaf3fd4f4f16fa7d3b48eed5	YOUTH HEALTH	http://metadata.un.org/thesaurus/1007110
http://linkedsdg.org/concept/317d03efc914eb415e04b1e69970452c	POLLUTION	http://eurovoc.europa.eu/2524;http://metadata.un.org/thesaurus/030400;http://metadata.un.org/thesaurus/1005003
http://linkedsdg.org/concept/cda8ca2b8c434db39dbb7970526c6480	AIR POLLUTION	http://metadata.un.org/thesaurus/1000196
http://linkedsdg.org/concept/f592658e4f8e47a15f118272c5244022	FOOD HYGIENE	http://eurovoc.europa.eu/1279;http://metadata.un.org/thesaurus/1002422
http://linkedsdg.org/concept/197aa41f90e5f8a71ebc3ebfeae6cdbb	WATER-RELATED DISEASES	http://metadata.un.org/thesaurus/1006940
http://linkedsdg.org/concept/f8371b2be272786a134fcf671f49bbbe	VACCINATION	http://eurovoc.europa.eu/4636;http://metadata.un.org/thesaurus/1006844
http://linkedsdg.org/concept/becb5d0e662f141155b95a20ce8eb3f0	MEDICAL RESEARCH	http://eurovoc.europa.eu/2923;http://metadata.un.org/thesaurus/1004017
http://linkedsdg.org/concept/6d38ace24ca89c942875c8268844c18e	PRESCHOOL EDUCATION	http://metadata.un.org/thesaurus/1005087
http://linkedsdg.org/concept/e4a178996193a0503b277514c5418659	DOMESTIC VIOLENCE	http://eurovoc.europa.eu/6557;http://metadata.un.org/thesaurus/1001744
http://linkedsdg.org/concept/bb65f3c9cfb60501ff3a7746d83fdb67	GENDER-BASED VIOLENCE	http://metadata.un.org/thesaurus/1002609
http://linkedsdg.org/concept/e86e193f7f7663f6fcf2dae459b998b9	VIOLENCE	http://eurovoc.europa.eu/4728;http://metadata.un.org/thesaurus/1006882
http://linkedsdg.org/concept/73789e68f54bff5dc7aef4ba24cf16df	FEMALE CIRCUMCISION	http://metadata.un.org/thesaurus/1002285
http://linkedsdg.org/concept/faedc83ef843d2187e5494145c0378d7	POLITICAL PARTICIPATION	http://metadata.un.org/thesaurus/1004982
