id	label
http://data.un.org/kos/geo/300	Greece
http://data.un.org/kos/geo/336	Holy See
http://data.un.org/kos/geo/380	Italy
http://data.un.org/kos/geo/470	Malta
http://data.un.org/kos/geo/499	Montenegro
http://data.un.org/kos/geo/807	North Macedonia
http://data.un.org/kos/geo/620	Portugal
http://data.un.org/kos/geo/674	San Marino
http://data.un.org/kos/geo/688	Serbia
http://data.un.org/kos/geo/705	Slovenia
http://data.un.org/kos/geo/724	Spain
http://data.un.org/kos/geo/40	Austria
http://data.un.org/kos/geo/56	Belgium
http://data.un.org/kos/geo/250	France
http://data.un.org/kos/geo/276	Germany
http://data.un.org/kos/geo/438	Liechtenstein
http://data.un.org/kos/geo/442	Luxembourg
http://data.un.org/kos/geo/492	Monaco
http://data.un.org/kos/geo/528	Netherlands
http://data.un.org/kos/geo/756	Switzerland
http://data.un.org/kos/geo/36	Australia
http://data.un.org/kos/geo/162	Christmas Island
http://data.un.org/kos/geo/166	Cocos (Keeling) Islands
http://data.un.org/kos/geo/334	Heard Island and McDonald Islands
http://data.un.org/kos/geo/554	New Zealand
http://data.un.org/kos/geo/574	Norfolk Island
http://data.un.org/kos/geo/242	Fiji
http://data.un.org/kos/geo/540	New Caledonia
http://data.un.org/kos/geo/598	Papua New Guinea
http://data.un.org/kos/geo/90	Solomon Islands
http://data.un.org/kos/geo/548	Vanuatu
http://data.un.org/kos/geo/316	Guam
http://data.un.org/kos/geo/296	Kiribati
http://data.un.org/kos/geo/584	Marshall Islands
http://data.un.org/kos/geo/583	Micronesia (Federated States of)
http://data.un.org/kos/geo/520	Nauru
http://data.un.org/kos/geo/580	Northern Mariana Islands
http://data.un.org/kos/geo/585	Palau
http://data.un.org/kos/geo/581	United States Minor Outlying Islands
http://data.un.org/kos/geo/16	American Samoa
http://data.un.org/kos/geo/184	Cook Islands
http://data.un.org/kos/geo/258	French Polynesia
http://data.un.org/kos/geo/570	Niue
http://data.un.org/kos/geo/612	Pitcairn
http://data.un.org/kos/geo/882	Samoa
http://data.un.org/kos/geo/772	Tokelau
http://data.un.org/kos/geo/776	Tonga
http://data.un.org/kos/geo/798	Tuvalu
http://data.un.org/kos/geo/876	Wallis and Futuna Islands
http://data.un.org/kos/geo/202	Sub-Saharan Africa
http://data.un.org/kos/geo/419	Latin America and the Caribbean
http://data.un.org/kos/geo/154	Northern Europe
http://data.un.org/kos/geo/86	Британская территория в Индийском океане
http://data.un.org/kos/geo/86	Indien (le Territoire britannique de l'océan)
http://data.un.org/kos/geo/86	إقليم المحيط الهندي البريطاني
http://data.un.org/kos/geo/86	Territorio Británico del Océano Índico
http://data.un.org/kos/geo/86	Territoire britannique de l'océan Indien
http://data.un.org/kos/geo/86	英屬印度洋領地
http://data.un.org/kos/geo/108	Бурунди
http://data.un.org/kos/geo/108	بوروندي
http://data.un.org/kos/geo/108	Burundi (le)
http://data.un.org/kos/geo/108	蒲隆地
http://data.un.org/kos/geo/174	جزر القمر
http://data.un.org/kos/geo/174	Comoras
http://data.un.org/kos/geo/174	Comores
http://data.un.org/kos/geo/174	Comores (les)
http://data.un.org/kos/geo/174	葛摩
http://data.un.org/kos/geo/174	Коморы
http://data.un.org/kos/geo/262	Джибути
http://data.un.org/kos/geo/262	جيبوتي
http://data.un.org/kos/geo/262	吉布提
http://data.un.org/kos/geo/262	Yibuti
http://data.un.org/kos/geo/232	Эритрея
http://data.un.org/kos/geo/232	إريتريا
http://data.un.org/kos/geo/232	厄立特里亚
http://data.un.org/kos/geo/232	Érythrée
http://data.un.org/kos/geo/232	Érythrée (l')
http://data.un.org/kos/geo/231	Эфиопия
http://data.un.org/kos/geo/231	إثيوبيا
http://data.un.org/kos/geo/231	埃塞俄比亚
http://data.un.org/kos/geo/231	Etiopía
http://data.un.org/kos/geo/231	Éthiopie
http://data.un.org/kos/geo/231	Éthiopie (l')
http://data.un.org/kos/geo/260	Terres australes et antarctiques françaises
http://data.un.org/kos/geo/260	Terres australes françaises (les)
http://data.un.org/kos/geo/260	أراض فرنسية جنوبية وأنتارتيكية
http://data.un.org/kos/geo/260	French Southern and Antarctic Lands
http://data.un.org/kos/geo/260	Tierras Australes y Antárticas Francesas
http://data.un.org/kos/geo/260	Французские Южные и Антарктические территории
http://data.un.org/kos/geo/260	法属南部领地
http://data.un.org/kos/geo/404	Кения
http://data.un.org/kos/geo/404	كينيا
http://data.un.org/kos/geo/404	肯尼亚
http://data.un.org/kos/geo/404	Kenia
http://data.un.org/kos/geo/404	Kenya (le)
http://data.un.org/kos/geo/450	Мадагаскар
http://data.un.org/kos/geo/450	مدغشقر
http://data.un.org/kos/geo/450	马达加斯加
