id	label	name	source
http://data.un.org/kos/geo/752	SWE	Sweden	geo
http://data.un.org/kos/geo/826	GBR	United Kingdom of Great Britain and Northern Ireland	geo
http://data.un.org/kos/geo/8	ALB	Albania	geo
http://data.un.org/kos/geo/20	AND	Andorra	geo
http://data.un.org/kos/geo/70	BIH	Bosnia and Herzegovina	geo
http://data.un.org/kos/geo/191	HRV	Croatia	geo
http://data.un.org/kos/geo/292	GIB	Gibraltar	geo
http://data.un.org/kos/geo/300	GRC	Greece	geo
http://data.un.org/kos/geo/336	VAT	Holy See	geo
http://data.un.org/kos/geo/380	ITA	Italy	geo
http://data.un.org/kos/geo/470	MLT	Malta	geo
http://data.un.org/kos/geo/499	MNE	Montenegro	geo
http://data.un.org/kos/geo/807	MKD	North Macedonia	geo
http://data.un.org/kos/geo/620	PRT	Portugal	geo
http://data.un.org/kos/geo/674	SMR	San Marino	geo
http://data.un.org/kos/geo/688	SRB	Serbia	geo
http://data.un.org/kos/geo/705	SVN	Slovenia	geo
http://data.un.org/kos/geo/724	ESP	Spain	geo
http://data.un.org/kos/geo/40	AUT	Austria	geo
http://data.un.org/kos/geo/56	BEL	Belgium	geo
http://data.un.org/kos/geo/250	FRA	France	geo
http://data.un.org/kos/geo/276	DEU	Germany	geo
http://data.un.org/kos/geo/438	LIE	Liechtenstein	geo
http://data.un.org/kos/geo/442	LUX	Luxembourg	geo
http://data.un.org/kos/geo/492	MCO	Monaco	geo
http://data.un.org/kos/geo/528	NLD	Netherlands	geo
http://data.un.org/kos/geo/756	CHE	Switzerland	geo
http://data.un.org/kos/geo/36	AUS	Australia	geo
http://data.un.org/kos/geo/162	CXR	Christmas Island	geo
http://data.un.org/kos/geo/166	CCK	Cocos (Keeling) Islands	geo
http://data.un.org/kos/geo/334	HMD	Heard Island and McDonald Islands	geo
http://data.un.org/kos/geo/554	NZL	New Zealand	geo
http://data.un.org/kos/geo/574	NFK	Norfolk Island	geo
http://data.un.org/kos/geo/242	FJI	Fiji	geo
http://data.un.org/kos/geo/540	NCL	New Caledonia	geo
http://data.un.org/kos/geo/598	PNG	Papua New Guinea	geo
http://data.un.org/kos/geo/90	SLB	Solomon Islands	geo
http://data.un.org/kos/geo/548	VUT	Vanuatu	geo
http://data.un.org/kos/geo/316	GUM	Guam	geo
http://data.un.org/kos/geo/296	KIR	Kiribati	geo
http://data.un.org/kos/geo/584	MHL	Marshall Islands	geo
http://data.un.org/kos/geo/583	FSM	Micronesia (Federated States of)	geo
http://data.un.org/kos/geo/520	NRU	Nauru	geo
http://data.un.org/kos/geo/580	MNP	Northern Mariana Islands	geo
http://data.un.org/kos/geo/585	PLW	Palau	geo
http://data.un.org/kos/geo/581	UMI	United States Minor Outlying Islands	geo
http://data.un.org/kos/geo/16	ASM	American Samoa	geo
http://data.un.org/kos/geo/184	COK	Cook Islands	geo
http://data.un.org/kos/geo/258	PYF	French Polynesia	geo
http://data.un.org/kos/geo/570	NIU	Niue	geo
http://data.un.org/kos/geo/612	PCN	Pitcairn	geo
http://data.un.org/kos/geo/882	WSM	Samoa	geo
http://data.un.org/kos/geo/772	TKL	Tokelau	geo
http://data.un.org/kos/geo/776	TON	Tonga	geo
http://data.un.org/kos/geo/798	TUV	Tuvalu	geo
http://data.un.org/kos/geo/876	WLF	Wallis and Futuna Islands	geo
http://data.un.org/kos/geo/202	Sub-Saharan Africa	Sub-Saharan Africa	geo
http://data.un.org/kos/geo/419	Latin America and the Caribbean	Latin America and the Caribbean	geo
http://data.un.org/kos/geo/154	Northern Europe	Northern Europe	geo
