id,label,source
http://metadata.un.org/thesaurus#1001628,DEVELOPMENT PLANNING,UNBIS
http://metadata.un.org/thesaurus#1001518,DEATH,UNBIS
http://metadata.un.org/thesaurus#1004239,MORTALITY,UNBIS
http://metadata.un.org/thesaurus#1000229,ALCOHOLISM,UNBIS
http://metadata.un.org/thesaurus#1002831,HEALTH HAZARDS,UNBIS
http://metadata.un.org/thesaurus#1004312,NARCOTIC DRUGS,UNBIS
http://metadata.un.org/thesaurus#140401,NARCOTIC DRUGS,UNBIS
http://metadata.un.org/thesaurus#1001705,DISEASES,UNBIS
http://metadata.un.org/thesaurus#1004436,NON-COMMUNICABLE DISEASES,UNBIS
http://metadata.un.org/thesaurus#1000937,CHILD MORTALITY,UNBIS
http://metadata.un.org/thesaurus#1003180,INFANT MORTALITY,UNBIS
http://metadata.un.org/thesaurus#1003182,INFANTS,UNBIS
http://metadata.un.org/thesaurus#080200,FAMILY PLANNING,UNBIS
http://metadata.un.org/thesaurus#1002244,FAMILY PLANNING,UNBIS
http://metadata.un.org/thesaurus#1005493,REPRODUCTIVE HEALTH,UNBIS
http://metadata.un.org/thesaurus#1007033,WOMEN'S HEALTH,UNBIS
http://metadata.un.org/thesaurus#1001123,COMMUNICABLE DISEASES,UNBIS
http://metadata.un.org/thesaurus#1003308,INTERNATIONAL HEALTH REGULATIONS,UNBIS
http://metadata.un.org/thesaurus#1002836,HEALTH PERSONNEL,UNBIS
http://metadata.un.org/thesaurus#1004903,PHYSICIANS,UNBIS
http://metadata.un.org/thesaurus#1005946,SMOKING,UNBIS
http://metadata.un.org/thesaurus#1006533,TOBACCO,UNBIS
http://metadata.un.org/thesaurus#1000934,CHILD HEALTH,UNBIS
http://metadata.un.org/thesaurus#1000950,CHILDBIRTH,UNBIS
http://metadata.un.org/thesaurus#1003981,MATERNAL AND CHILD HEALTH,UNBIS
http://metadata.un.org/thesaurus#1002285,FEMALE CIRCUMCISION,UNBIS
http://metadata.un.org/thesaurus#1002819,HARMFUL TRADITIONAL PRACTICES,UNBIS
http://metadata.un.org/thesaurus#1003845,MALARIA,UNBIS
http://metadata.un.org/thesaurus#1003983,MATERNAL MORTALITY,UNBIS
http://metadata.un.org/thesaurus#1004247,MOTHERS,UNBIS
http://metadata.un.org/thesaurus#1000931,CHILD DEVELOPMENT,UNBIS
http://metadata.un.org/thesaurus#1000939,CHILD NUTRITION,UNBIS
http://metadata.un.org/thesaurus#1003859,MALNUTRITION,UNBIS
http://metadata.un.org/thesaurus#1004544,OBESITY,UNBIS
http://metadata.un.org/thesaurus#1006570,TOXIC SUBSTANCES,UNBIS
http://metadata.un.org/thesaurus#1004041,MENTAL HEALTH,UNBIS
http://metadata.un.org/thesaurus#1006282,SUICIDE,UNBIS
http://metadata.un.org/thesaurus#1005589,ROAD TRAFFIC,UNBIS
http://metadata.un.org/thesaurus#1006615,TRAFFIC ACCIDENTS,UNBIS
http://metadata.un.org/thesaurus#1006619,TRAFFIC SAFETY,UNBIS
http://metadata.un.org/thesaurus#1006940,WATER-RELATED DISEASES,UNBIS
http://metadata.un.org/thesaurus#1006731,TUBERCULOSIS,UNBIS
http://metadata.un.org/thesaurus#1006709,TROPICAL DISEASES,UNBIS
http://metadata.un.org/thesaurus#1000544,BASIC NEEDS,UNBIS
http://metadata.un.org/thesaurus#1005995,SOCIAL WELFARE,UNBIS
http://metadata.un.org/thesaurus#1006166,STANDARD OF LIVING,UNBIS
http://metadata.un.org/thesaurus#1000949,CHILD WELFARE,UNBIS
http://metadata.un.org/thesaurus#1001680,DISABILITY BENEFITS,UNBIS
http://metadata.un.org/thesaurus#1004831,PERSONS WITH DISABILITIES,UNBIS
http://metadata.un.org/thesaurus#100500,PERSONS WITH DISABILITIES,UNBIS
http://metadata.un.org/thesaurus#1002257,FAMILY WELFARE,UNBIS
http://metadata.un.org/thesaurus#1003984,MATERNAL WELFARE,UNBIS
http://metadata.un.org/thesaurus#1000115,AGEING PERSONS,UNBIS
http://metadata.un.org/thesaurus#1004610,OLD AGE BENEFITS,UNBIS
http://metadata.un.org/thesaurus#050800,INSURANCE,UNBIS
http://metadata.un.org/thesaurus#1003238,INSURANCE,UNBIS
http://metadata.un.org/thesaurus#1006773,UNEMPLOYMENT,UNBIS
http://metadata.un.org/thesaurus#1006774,UNEMPLOYMENT INSURANCE,UNBIS
